day_of_week,hour,commit_count
1,0,1523
1,1,1835
1,2,1413
1,3,1115
1,4,1492
1,5,1651
1,6,1253
1,7,1613
1,8,1868
1,9,1297
1,10,1554
1,11,1819
1,12,1518
1,13,1389
1,14,1322
1,15,1802
1,16,1868
1,17,2189
1,18,2442
1,19,2765
1,20,2193
1,21,1982
1,22,2379
1,23,2790
2,0,2334
2,1,2981
2,2,2776
2,3,2616
2,4,3291
2,5,2077
2,6,2903
2,7,3760
2,8,3922
2,9,4887
2,10,3471
2,11,3627
2,12,3960
2,13,3812
2,14,5275
2,15,6417
2,16,6442
2,17,6127
2,18,7191
2,19,8637
2,20,7533
2,21,6416
2,22,7122
2,23,7484
3,0,5401
3,1,4401
3,2,3185
3,3,3807
3,4,3290
3,5,3625
3,6,3405
3,7,3575
3,8,4479
3,9,4107
3,10,4036
3,11,3874
3,12,3607
3,13,4082
3,14,4653
3,15,5847
3,16,6585
3,17,6864
3,18,7746
3,19,6964
3,20,7362
3,21,7734
3,22,6352
3,23,6693
4,0,5356
4,1,4517
4,2,3692
4,3,3647
4,4,2928
4,5,3308
4,6,3475
4,7,3369
4,8,4329
4,9,4601
4,10,3670
4,11,3366
4,12,4526
4,13,4178
4,14,4448
4,15,7405
4,16,5473
4,17,5924
4,18,5981
4,19,6861
4,20,7728
4,21,6656
4,22,6678
4,23,8606
5,0,5364
5,1,4892
5,2,3080
5,3,3587
5,4,3268
5,5,3482
5,6,3384
5,7,3328
5,8,3653
5,9,4096
5,10,4301
5,11,3144
5,12,3772
5,13,3850
5,14,4497
5,15,6667
5,16,6604
5,17,6439
5,18,5949
5,19,6365
5,20,7163
5,21,6024
5,22,5703
5,23,6057
6,0,5076
6,1,4260
6,2,3393
6,3,2684
6,4,2805
6,5,3093
6,6,3179
6,7,3157
6,8,3699
6,9,3236
6,10,3377
6,11,3203
6,12,3738
6,13,4067
6,14,4167
6,15,4661
6,16,6770
6,17,6654
6,18,7874
6,19,6393
6,20,7176
6,21,7466
6,22,6596
6,23,5573
7,0,4014
7,1,2622
7,2,1966
7,3,1572
7,4,1562
7,5,1753
7,6,1503
7,7,1275
7,8,1439
7,9,1300
7,10,1404
7,11,1389
7,12,1015
7,13,1276
7,14,1290
7,15,1875
7,16,1926
7,17,1986
7,18,2261
7,19,2480
7,20,2934
7,21,1969
7,22,2232
7,23,1771
